enrollment,duration,phase_encoded,condition_encoded,intervention_type_encoded,study_design_encoded,sponsor_type_encoded,gender_encoded,location_encoded,masking_encoded,final_status
50.0,365.0,6,53,6,1,3,0,1179,1,1
49.0,365.0,1,3544,6,1,3,0,286,2,1
172.0,641.0,3,5044,6,0,3,0,208,1,1
335.0,914.0,6,3398,6,0,6,1,569,1,1
16.0,194.0,1,3744,6,0,3,0,385,1,1
72.0,2162.0,3,221,5,0,6,0,332,2,1
10.0,182.0,6,3544,6,1,3,0,788,1,1
22.0,4389.0,6,4022,6,0,3,0,706,1,1
38.0,28.0,1,3544,6,1,3,0,747,1,1
840.0,1093.0,3,5790,1,1,3,0,973,2,1
50.0,1003.0,3,6911,6,0,3,2,1179,1,1
31.0,1186.0,0,3027,6,1,6,0,288,2,1
20.0,3346.0,6,3375,6,1,3,0,208,1,1
235.0,992.4420741902379,6,2771,9,0,3,0,1179,1,1
60.0,669.0,3,6698,6,1,3,0,68,1,1
70.0,1187.0,3,8357,6,1,3,0,208,1,1
822.0,335.0,5,8375,6,1,3,0,186,2,1
60.0,1500.0,3,2250,1,1,5,0,533,1,1
120.0,1645.0,3,1238,6,1,3,1,1179,2,1
161.0,1583.0,6,6306,6,1,6,0,509,2,1
39876.0,4534.0,5,1475,6,1,5,1,1179,4,1
48.0,365.0,1,3592,6,1,3,0,781,2,1
24.0,672.0,6,5991,6,1,6,0,1179,1,1
50.0,1218.0,1,5502,6,0,3,0,841,1,1
152.0,884.0,3,7661,6,1,3,0,68,0,1
28.0,194.0,1,830,6,1,8,1,1179,1,1
70.0,1278.0,6,2178,6,1,6,0,175,4,1
970.0,882.0,6,8610,8,1,6,0,1179,3,1
15.0,95.0,3,3544,5,1,3,0,208,2,1
84.0,212.0,1,613,6,1,3,2,788,2,1
540.0,61.0,3,6631,6,1,3,0,1179,2,1
91.0,577.0,5,7474,6,1,3,0,1179,2,1
240.0,1918.0,3,3424,0,1,6,0,706,1,1
23.0,244.0,6,208,6,1,6,0,1179,1,1
24.0,396.0,1,4229,6,1,3,0,1179,0,1
31.0,899.0,5,4282,6,1,5,0,742,2,1
48.0,90.0,1,6979,6,1,3,0,790,1,1
30.0,5297.0,5,3366,10,0,6,0,921,1,1
407.0,2557.0,5,923,3,1,3,0,68,1,1
15.0,915.0,3,3305,6,0,6,0,1179,1,1
1265.0,944.0,5,706,6,1,3,0,1179,0,1
64.0,0.0,1,3544,6,1,3,0,912,1,1
81.0,762.0,3,7951,6,1,3,0,208,2,1
80.0,640.0,3,7296,6,1,5,0,30,1,1
313.0,701.0,5,890,6,1,3,0,30,0,1
84.0,273.0,6,3707,6,1,6,0,1179,3,1
401.0,2222.0,4,2188,3,1,3,0,1131,3,1
65.0,792.0,5,8314,3,1,6,0,1179,2,1
725.0,761.0,6,890,6,1,3,0,30,0,1
100.0,173.0,4,1738,6,1,6,2,1179,0,1
60.0,2284.0,6,3962,8,1,6,0,1179,1,1
308.0,334.0,1,4240,1,1,5,0,208,0,1
102.0,609.0,6,611,6,0,3,0,1179,1,1
120.0,992.4420741902379,3,4058,0,1,5,0,208,3,1
183.0,1037.0,3,1238,6,1,3,1,68,3,1
239.0,760.0,5,5337,6,1,3,0,30,2,1
56.0,456.0,1,890,6,1,3,0,790,0,1
20.0,558.0,5,2208,3,1,6,0,1179,0,1
68.0,212.0,6,1778,6,1,6,0,792,4,1
36.0,30.0,1,2603,6,1,3,2,1179,1,1
113.0,966.0,5,5310,6,1,3,0,1179,1,1
47.0,1979.0,2,234,6,0,6,0,1077,1,1
17.0,73.0,1,6415,6,1,3,1,1077,1,1
50.0,61.0,1,3984,6,1,6,2,1179,1,1
89.0,31.0,5,604,6,1,6,0,208,4,1
60.0,33.0,1,1892,6,1,3,0,1077,1,1
24.0,30.0,1,3544,6,1,3,2,1179,1,1
392.0,1737.0,6,6507,1,1,7,0,500,1,1
30.0,672.0,4,4517,5,1,3,0,706,2,1
90.0,791.0,3,1728,6,1,3,0,1179,1,1
43.0,933.0,2,611,6,1,5,0,288,2,1
214.0,1887.0,3,1238,6,1,3,1,788,1,1
91.0,1668.0,5,3518,1,1,5,0,208,0,1
20.0,746.0,6,2757,6,1,6,0,1179,1,1
20.0,33.0,1,3583,6,0,3,2,1179,1,1
278.0,383.0,3,4913,6,1,3,0,424,2,1
46.0,6058.0,3,221,6,0,6,0,1077,1,1
46.0,1743.0,0,4969,6,1,5,0,1077,1,1
425.0,882.0,5,8376,6,1,3,0,1179,0,1
115.0,2144.0,3,5337,6,1,1,0,30,2,1
16.0,184.0,6,786,6,1,5,0,208,3,1
39.0,68.0,1,2443,6,1,3,0,30,3,1
60.0,1155.0,6,7730,6,1,5,0,881,2,1
412.0,487.0,5,2667,6,0,3,0,1179,1,1
40.0,1034.0,6,2188,6,1,6,0,509,2,1
52.0,1929.0,3,8455,3,1,1,0,837,3,1
20.0,335.0,3,4671,6,1,3,0,1179,0,1
351.0,183.0,5,5206,6,1,3,1,68,0,1
212.0,1253.0,5,3790,6,0,3,0,30,1,1
20.0,2373.0,1,3621,3,0,3,0,331,1,1
60.0,992.4420741902379,6,8151,6,1,6,0,888,3,1
240.0,66.0,1,7542,6,1,3,0,747,3,1
54.0,1339.0,3,3934,6,1,6,0,1179,2,1
31.0,1096.0,3,6349,6,1,5,0,1134,2,1
7.0,976.0,3,5446,6,0,3,0,1085,1,1
20.0,992.4420741902379,3,7454,6,0,5,1,208,1,1
15.0,1037.0,3,2264,6,1,3,0,765,2,1
150.0,454.0,5,5953,1,1,7,0,1179,0,1
18.0,59.0,1,3544,6,1,3,2,1179,1,1
1311.0,1056.0,6,5057,1,0,3,0,1179,1,1
165.0,3711.0,6,566,0,1,5,0,881,4,1
54.0,1517.0,1,2398,6,1,6,0,853,2,1
13.0,457.0,1,6658,6,1,6,1,1166,1,1
56.0,731.0,3,6445,6,1,6,0,286,0,1
301.0,1554.0,5,1728,6,1,3,0,1179,0,1
36.0,456.0,1,7474,6,0,3,0,208,1,1
34.0,992.4420741902379,6,1510,3,0,3,0,1077,1,1
224.0,516.0,6,7355,8,1,3,0,30,3,1
22.0,123.0,1,3544,6,0,3,0,68,1,1
64.0,189.0,1,3356,6,1,3,2,1179,0,1
45.0,823.0,6,7355,6,1,6,0,1179,3,1
151.0,548.0,5,3951,6,0,3,0,1179,1,1
310.8711580908859,992.4420741902379,6,4924,6,1,6,0,1179,1,1
31.0,2008.0,6,919,6,1,6,0,533,0,1
286.0,1552.0,6,7306,9,1,6,0,140,3,1
24.0,853.0,2,7545,6,1,6,0,1134,2,1
500.0,549.0,6,2138,6,1,3,1,208,1,1
66.0,915.0,3,5094,5,1,6,0,1179,4,1
55.0,730.0,3,1758,6,1,7,0,1179,3,1
67.0,1155.0,6,6384,3,1,3,0,629,0,1
63.0,273.0,1,3544,6,1,3,0,1179,0,1
187.0,214.0,3,8396,1,1,3,0,385,4,1
850.0,1033.0,5,108,6,1,3,0,208,2,1
68.0,2272.0,1,656,6,0,3,0,1076,1,1
449.0,609.0,5,8543,1,1,3,0,1179,2,1
65.0,579.0,6,2124,6,1,6,0,677,0,1
46.0,2922.0,3,1256,6,0,6,1,894,1,1
172.0,212.0,6,8701,3,1,8,1,1179,1,1
58.0,98.0,1,1103,6,1,3,2,1080,1,1
1179.0,273.0,6,292,6,1,3,0,68,2,1
282.0,273.0,5,935,6,1,3,0,1179,2,1
70.0,366.0,5,5954,3,1,6,0,841,0,1
40.0,304.0,1,8348,6,1,3,2,1179,1,1
1200.0,1826.0,5,912,6,1,6,0,1179,0,1
82.0,328.0,3,124,6,1,3,0,1179,2,1
1000.0,992.4420741902379,5,206,3,1,3,0,30,2,1
200.0,731.0,3,1748,0,1,6,0,208,0,1
875.0,943.0,6,5971,6,1,3,0,30,2,1
36.0,244.0,1,2443,6,1,3,0,1179,2,1
147.0,122.0,5,7233,6,1,3,0,1179,1,1
211.0,1614.0,6,209,3,1,6,0,448,1,1
121.0,242.0,1,3978,8,1,3,0,286,2,1
45.0,1096.0,4,2330,3,1,6,0,1179,0,1
30.0,761.0,6,6945,1,1,3,0,912,3,1
16.0,1894.0,1,3305,6,0,6,0,1134,1,1
47.0,638.0,3,1258,6,1,6,1,1179,4,1
72.0,2646.0,6,2371,3,1,6,0,1179,1,1
70.0,1460.0,3,4888,1,0,3,0,208,3,1
400.0,1524.0,3,3385,6,1,3,1,208,3,1
16.0,55.0,1,6979,6,1,3,0,790,0,1
207.0,1522.0,6,2845,6,1,6,0,1179,1,1
40.0,184.0,6,2947,10,1,6,0,128,1,1
300.0,28.0,5,2145,6,1,6,0,208,1,1
125.0,2467.0,6,5985,6,1,6,1,1179,1,1
84.0,669.0,6,6535,6,1,6,1,375,4,1
6.0,1523.0,2,3434,6,0,4,0,30,1,1
216.0,739.0,5,4819,6,1,3,0,839,2,1
127.0,973.0,4,8375,6,1,5,0,706,2,1
33.0,61.0,5,3544,8,1,6,1,1179,0,1
23.0,426.0,5,4623,6,1,3,0,1077,1,1
369.0,4050.0,5,5520,6,1,3,1,385,1,1
90.0,444.0,3,3118,6,1,6,0,1179,2,1
70.0,1020.0,6,3388,6,1,6,1,912,4,1
125.0,670.0,5,6067,6,1,3,0,651,2,1
113.0,1157.0,6,1266,6,1,3,0,1179,2,1
735.0,273.0,5,7399,1,1,3,0,1179,1,1
151.0,549.0,3,6338,1,1,3,0,30,0,1
99.0,2283.0,3,3755,1,1,3,0,1179,0,1
114.0,547.0,3,4865,6,1,3,1,235,4,1
36.0,3897.0,1,4783,6,0,5,0,30,1,1
52.0,426.0,0,2344,9,0,6,0,1179,1,1
2079.0,760.0,5,890,6,1,3,0,1179,0,1
378.0,2498.0,3,5330,6,0,6,0,1179,1,1
96.0,992.4420741902379,1,8446,6,0,5,0,742,1,1
10.0,1587.0,3,3934,6,1,6,0,208,4,1
52.0,761.0,3,167,6,1,6,0,208,2,1
44.0,213.0,3,2443,1,1,3,0,208,2,1
498.0,715.0,5,8376,6,1,3,0,1179,4,1
310.8711580908859,0.0,2,1045,3,1,6,0,1179,1,1
3132.0,1152.0,5,890,2,1,3,0,30,2,1
200.0,1071.0,6,1470,6,1,7,0,1179,2,1
32.0,823.0,6,3715,6,0,3,2,1179,1,1
900.0,992.4420741902379,5,3544,1,1,3,0,1179,0,1
266.0,731.0,3,7355,6,0,3,0,30,1,1
101.0,426.0,5,3815,1,1,3,0,1179,0,1
300.0,2262.0,5,642,9,1,6,0,208,1,1
654.0,441.0,5,919,6,1,3,0,385,2,1
131.0,4755.0,5,1229,6,1,5,0,30,1,1
1292.0,1887.0,5,5337,6,1,3,0,30,4,1
117.0,851.0,3,3763,6,0,3,0,30,1,1
58.0,1188.0,3,961,6,1,1,0,208,4,1
50.0,80.0,1,3544,6,1,3,0,1179,1,1
48.0,819.0,1,1238,3,0,6,0,706,1,1
320.0,256.0,3,1074,6,1,3,2,1179,2,1
21.0,1124.0,3,196,6,1,5,0,1179,1,1
137.0,244.0,6,775,6,1,6,0,146,3,1
50.0,2072.0,3,4837,9,0,6,0,841,1,1
60.0,2055.0,3,2683,6,1,6,0,293,3,1
13.0,731.0,1,6911,6,0,3,2,705,1,1
2.0,427.0,2,5322,6,1,6,0,208,2,1
510.0,1247.0,6,3984,6,1,6,0,1179,1,1
216.0,306.0,4,6956,0,1,6,0,114,3,1
33.0,992.4420741902379,3,3181,1,0,3,0,1179,1,1
10.0,2102.0,0,6999,6,1,6,0,1077,2,1
126.0,884.0,3,437,6,1,3,0,1007,2,1
24.0,212.0,1,890,1,0,3,0,665,1,1
72.0,638.0,3,3128,6,1,3,2,208,2,1
400.0,1277.0,5,3950,9,1,3,1,1179,0,1
104.0,2038.0,5,1256,6,1,6,1,493,1,1
31.0,1339.0,6,1728,8,1,5,0,208,1,1
30.0,975.0,1,1333,6,0,3,0,1179,1,1
60.0,881.0,4,7797,6,1,6,0,1179,0,1
640.0,365.0,5,8043,6,1,3,0,751,3,1
21.0,1279.0,3,2012,6,1,5,0,705,1,1
387.0,1985.0,3,4211,1,1,3,0,69,1,1
145.0,1916.0,5,713,2,1,3,0,490,0,1
36.0,141.0,1,2442,1,1,3,0,1179,0,1
191.0,457.0,3,2659,6,1,3,0,1179,0,1
33.0,791.0,4,2482,6,1,8,0,1179,0,1
300.0,992.4420741902379,5,8076,6,1,6,1,1179,0,1
45.0,992.4420741902379,3,1801,6,1,3,0,385,2,1
196.0,578.0,5,5078,6,1,3,1,68,2,1
350.0,396.0,6,2390,6,0,3,0,1179,1,1
48.0,1715.0,3,1599,6,1,6,0,810,1,1
72.0,60.0,1,3544,6,1,3,0,1179,0,1
31.0,1553.0,3,890,6,1,5,0,1134,0,1
30.0,304.0,6,780,6,0,6,0,792,1,1
64.0,1277.0,6,6535,6,0,3,1,665,1,1
40.0,227.0,1,3592,1,1,5,0,837,0,1
160.0,1383.0,5,1773,6,1,3,0,1179,1,1
93.0,3014.0,3,6353,3,1,3,0,1179,0,1
152.0,421.0,3,6474,6,1,3,0,208,2,1
27.0,393.0,1,3506,1,1,1,0,705,3,1
113.0,852.0,5,1937,1,1,3,0,68,4,1
10.0,212.0,3,3951,5,1,3,0,1179,0,1
274.0,1948.0,6,1531,6,1,6,0,1179,2,1
35.0,884.0,6,4911,6,1,8,0,881,1,1
140.0,3477.0,1,5879,6,1,5,0,705,2,1
113.0,2161.0,3,4885,6,0,3,0,208,1,1
705.0,334.0,5,5874,6,1,3,0,1179,0,1
217.0,2512.0,5,6820,6,1,3,0,208,2,1
286.0,1004.0,2,8002,0,1,5,0,1149,1,1
