enrollment,enrollment_type,duration,phase_encoded,condition_encoded,intervention_type_encoded,study_design_encoded,sponsor_type_encoded,gender_encoded,location_encoded,masking_encoded,final_status
32.0,ACTUAL,2374.0,6,1223,6,1,7,0,980,4,1
258.1383630528429,ESTIMATED,1076.9030855527424,5,4431,6,1,6,0,1191,1,1
9.0,ACTUAL,30.0,1,2785,6,2,3,2,1191,1,1
34.0,ACTUAL,669.0,3,5780,6,0,6,0,208,1,1
400.0,,1076.9030855527424,5,7030,6,1,3,0,1191,0,1
70.0,ACTUAL,84.0,3,8448,6,1,3,0,1191,0,1
10.0,ACTUAL,275.0,3,9155,6,1,6,0,1080,4,1
42.0,ACTUAL,398.0,3,1762,1,1,3,0,535,1,1
628.0,ACTUAL,242.0,5,3614,6,0,3,0,1191,1,1
10.0,ESTIMATED,153.0,1,8058,6,1,3,0,537,2,1
600.0,ACTUAL,352.0,5,8035,6,1,8,0,316,0,1
654.0,ACTUAL,426.0,5,2820,6,1,3,0,804,0,1
745.0,ACTUAL,393.0,5,9981,1,1,3,0,1191,1,1
9.0,ACTUAL,1764.0,3,3948,6,1,6,0,702,0,1
64.0,ACTUAL,122.0,1,8520,6,1,3,2,1191,2,1
1255.0,ACTUAL,852.0,5,1326,6,1,3,0,208,2,1
45.0,ACTUAL,1127.0,3,3786,6,2,6,0,1191,1,1
61.0,ACTUAL,2453.0,3,9761,6,2,6,0,1191,1,1
20.0,ACTUAL,730.0,6,8420,6,1,6,2,1191,4,1
46.0,ESTIMATED,1065.0,5,3732,1,1,3,0,1191,3,1
95.0,ACTUAL,177.0,5,1060,6,1,3,0,75,2,1
17.0,ACTUAL,610.0,1,8352,6,0,7,0,1191,1,1
68.0,ACTUAL,243.0,6,6002,6,1,1,0,1139,2,1
722.0,ACTUAL,2223.0,5,7030,1,1,3,0,37,1,1
129.0,ACTUAL,339.0,0,7335,1,1,6,1,137,1,1
46.0,ACTUAL,1066.0,6,5157,6,1,3,0,1191,0,1
64.0,ACTUAL,1157.0,1,8869,6,1,3,0,74,1,1
7352.0,ACTUAL,1965.0,5,2809,6,1,3,0,37,2,1
20.0,ACTUAL,92.0,1,4101,6,2,3,1,1159,1,1
193.0,ACTUAL,184.0,3,2819,6,1,3,0,75,4,1
13.0,ACTUAL,609.0,1,6129,6,2,3,0,28,1,1
171.0,ACTUAL,245.0,6,7566,6,0,3,0,208,1,1
32.0,ACTUAL,365.0,5,3325,0,2,7,0,1191,3,1
34.0,ACTUAL,1076.9030855527424,6,1798,3,0,3,0,1080,1,1
98.0,ACTUAL,1553.0,2,1461,6,0,3,0,804,1,1
60.0,ACTUAL,705.0,3,4056,6,1,3,0,776,3,1
156.0,ACTUAL,2272.0,3,275,6,2,6,0,731,1,1
332.0,ACTUAL,1095.0,5,2342,6,1,3,0,1191,0,1
59.0,,1076.9030855527424,3,6814,6,1,3,0,37,0,1
18.0,ACTUAL,89.0,1,746,6,0,3,0,701,1,1
620.0,ESTIMATED,2010.0,3,3823,0,1,5,2,732,3,1
30.0,ACTUAL,1076.9030855527424,5,7936,6,1,3,0,782,1,1
60.0,ACTUAL,761.0,6,8529,5,2,3,0,1115,1,1
20.0,ACTUAL,1470.0,3,6875,8,1,8,0,1137,3,1
30.0,ACTUAL,608.0,1,4056,1,0,3,2,1191,1,1
50.0,ACTUAL,275.0,3,3202,6,1,6,1,1191,3,1
23.0,ACTUAL,1695.0,2,1459,6,2,6,0,388,1,1
14.0,ACTUAL,1338.0,1,3511,3,0,5,0,776,1,1
100.0,ESTIMATED,395.0,6,4215,6,0,3,0,1191,1,1
285.0,ACTUAL,1552.0,5,8441,6,1,3,0,1191,1,1
4110.0,ACTUAL,3440.0,4,2079,6,1,5,0,37,2,1
70.0,ACTUAL,1249.0,6,5510,6,1,7,0,1191,3,1
415.0,ACTUAL,638.0,3,8316,6,1,3,0,1191,2,1
75.0,ACTUAL,244.0,1,4101,6,1,3,0,1191,1,1
376.0,ACTUAL,153.0,5,1237,1,1,3,0,189,4,1
16.0,ACTUAL,153.0,2,902,6,1,6,2,146,2,1
72.0,ACTUAL,122.0,1,9398,6,1,3,0,1191,1,1
30.0,ACTUAL,61.0,6,4056,6,0,3,0,1080,1,1
1975.0,ACTUAL,2800.0,4,9576,1,1,5,0,1191,2,1
534.0,ACTUAL,1096.0,5,9235,6,1,7,0,463,2,1
582.0,ACTUAL,583.0,3,6750,6,1,3,0,37,2,1
135.0,ACTUAL,1513.0,3,1096,6,1,3,0,1191,2,1
3.0,ACTUAL,1064.0,3,1524,0,1,5,0,1151,1,1
27.0,ACTUAL,2149.0,3,2447,1,1,6,0,1024,4,1
11.0,ACTUAL,639.0,1,5964,6,2,3,0,388,1,1
96.0,ACTUAL,591.0,2,2517,6,1,6,0,1191,4,1
170.0,ACTUAL,1005.0,5,2011,8,1,5,0,421,3,1
41.0,ACTUAL,1647.0,5,3328,6,2,3,0,33,1,1
68.0,ACTUAL,3561.0,0,1384,6,1,6,0,702,0,1
120.0,ACTUAL,822.0,5,1422,6,1,6,0,617,4,1
40.0,ACTUAL,315.0,0,2488,2,1,6,0,1191,3,1
42.0,ACTUAL,486.0,3,643,0,1,6,2,1191,3,1
54.0,ACTUAL,956.0,3,6236,6,1,7,0,1103,4,1
70.0,ACTUAL,1188.0,3,6606,6,1,3,0,1191,1,1
34.0,ACTUAL,518.0,3,8564,6,1,3,0,505,1,1
10.0,ACTUAL,393.0,5,7092,6,2,6,0,1024,1,1
16.0,ACTUAL,181.0,3,4540,6,0,3,0,388,3,1
14.0,ACTUAL,781.0,2,8916,1,1,6,0,1191,1,1
110.0,ACTUAL,31.0,1,4056,6,1,3,2,1158,1,1
39.0,ACTUAL,1096.0,3,9193,0,0,3,0,1191,0,1
55.0,ACTUAL,1217.0,3,237,9,1,6,0,286,1,1
267.0,ACTUAL,1461.0,5,9607,8,1,6,0,211,1,1
420.0,ACTUAL,700.0,5,7092,6,1,3,0,1191,2,1
118.0,ACTUAL,916.0,3,6520,6,1,3,0,1191,2,1
97.0,ACTUAL,1064.0,3,1487,6,1,3,0,1191,1,1
141.0,ACTUAL,1436.0,2,9565,6,0,3,0,702,1,1
104.0,ACTUAL,2878.0,3,8279,6,1,3,0,208,2,1
18.0,ACTUAL,1794.0,1,280,6,2,3,0,1191,1,1
28.0,ACTUAL,883.0,3,1143,6,0,6,0,837,3,1
150.0,,120.0,3,4041,6,1,3,0,37,0,1
28.0,ACTUAL,2951.0,1,9692,6,2,5,0,832,1,1
40.0,ACTUAL,1784.0,2,6346,6,0,5,0,701,1,1
110.0,ACTUAL,975.0,3,6229,6,1,6,0,1191,1,1
25.0,ACTUAL,1076.9030855527424,1,6346,6,1,3,0,1191,1,1
61.0,ACTUAL,153.0,5,8448,6,2,3,0,1191,1,1
301.0,ACTUAL,1363.0,1,5639,1,1,5,0,1191,0,1
128.0,ACTUAL,315.0,5,1060,6,1,3,0,388,2,1
30.0,ACTUAL,365.0,1,4249,1,2,6,0,1191,1,1
241.0,ACTUAL,1725.0,6,2044,6,1,3,0,1191,1,1
249.0,ACTUAL,1646.0,5,4287,6,0,3,0,208,1,1
22.0,ACTUAL,524.0,3,6994,3,1,6,0,1024,3,1
977.0,ACTUAL,638.0,5,2784,6,1,3,0,37,0,1
113.0,ACTUAL,1439.0,1,1182,6,2,6,0,37,1,1
84.0,ACTUAL,1076.9030855527424,1,4056,6,1,3,0,1191,1,1
197.0,ACTUAL,1325.0,2,8187,6,1,4,0,625,1,1
200.0,ACTUAL,1969.0,6,7637,6,1,6,0,1191,2,1
40.0,ACTUAL,1369.0,3,8441,1,1,3,0,1191,2,1
40.0,ACTUAL,1280.0,6,2784,6,1,2,0,1191,4,1
212.0,ACTUAL,518.0,6,9548,6,1,6,1,1191,1,1
33.0,ACTUAL,402.0,3,4814,6,1,3,2,37,1,1
26.0,ACTUAL,608.0,6,6970,6,1,3,0,769,1,1
14.0,ACTUAL,1076.9030855527424,1,3614,6,1,3,0,1191,0,1
60.0,ACTUAL,913.0,6,8427,6,1,6,0,1191,3,1
128.0,ACTUAL,1310.0,3,832,6,1,5,0,208,2,1
16.0,ACTUAL,365.0,3,5650,6,1,3,2,208,1,1
41.0,ACTUAL,2312.0,1,8864,6,2,7,0,1191,1,1
60.0,ACTUAL,1076.9030855527424,1,4056,6,1,3,2,1191,0,1
153.0,ACTUAL,2546.0,3,6407,6,1,6,0,1191,1,1
377.0,ACTUAL,2284.0,6,2046,6,1,7,0,1191,1,1
10.0,ACTUAL,1126.0,3,7978,3,0,6,0,406,1,1
139.0,ACTUAL,608.0,6,3135,6,1,6,0,208,2,1
8.0,ACTUAL,488.0,3,648,6,2,6,0,1080,1,1
19.0,ACTUAL,1673.0,3,370,6,1,5,0,208,0,1
60.0,ACTUAL,52.0,1,6976,6,1,3,0,1115,2,1
120.0,ESTIMATED,273.0,3,3283,6,1,6,0,837,0,1
50.0,ACTUAL,761.0,2,8917,6,1,1,0,906,0,1
100.0,,1737.0,3,2784,6,1,6,0,837,1,1
16.0,ACTUAL,244.0,2,7435,1,1,6,0,1191,2,1
69.0,ACTUAL,1216.0,5,4281,6,1,3,0,208,1,1
30.0,ACTUAL,457.0,3,6773,6,1,5,0,75,0,1
30.0,,61.0,6,9713,9,0,6,0,1191,1,1
38.0,ACTUAL,2196.0,6,9635,6,1,3,0,388,0,1
2797.0,ACTUAL,1641.0,5,4103,1,1,3,0,37,2,1
4760.0,ACTUAL,1523.0,6,6745,1,1,6,0,1191,1,1
127.0,ACTUAL,1339.0,3,9155,3,1,6,0,286,3,1
24.0,ACTUAL,62.0,1,2771,6,1,3,0,1191,1,1
13.0,ACTUAL,609.0,1,1096,3,2,3,0,837,1,1
177.0,ACTUAL,213.0,1,4098,6,2,3,0,1115,0,1
28.0,ACTUAL,91.0,1,2768,6,1,3,0,1191,0,1
505.0,ACTUAL,2324.0,5,7942,6,1,3,0,37,2,1
166.0,ACTUAL,1757.0,3,3786,6,1,6,0,141,1,1
60.0,ESTIMATED,365.0,3,2127,9,1,6,0,1191,3,1
58.0,ACTUAL,1826.0,5,7185,6,1,6,0,1191,2,1
258.1383630528429,ESTIMATED,1219.0,3,6131,1,2,5,0,701,1,1
357.0,ACTUAL,1076.9030855527424,6,302,6,1,3,0,37,3,1
75.0,ACTUAL,2325.0,1,8881,6,0,3,0,208,1,1
16.0,ACTUAL,92.0,1,4056,6,1,3,0,1169,1,1
1177.0,ACTUAL,798.0,5,8396,6,1,3,0,37,2,1
100.0,,1076.9030855527424,5,2727,6,0,3,0,255,1,1
32.0,ACTUAL,335.0,1,8808,6,1,3,0,1191,0,1
277.0,ACTUAL,243.0,5,7936,6,1,6,0,37,0,1
14.0,ACTUAL,942.0,1,7885,6,1,6,2,1191,1,1
1752.0,,761.0,5,2785,6,1,3,0,37,0,1
1322.0,ACTUAL,7916.0,5,7885,6,1,5,2,1191,1,1
81.0,ACTUAL,1340.0,3,5733,6,1,5,0,1024,0,1
20.0,ACTUAL,1734.0,2,9585,6,2,3,0,832,1,1
12.0,ACTUAL,1820.0,1,4604,6,2,6,2,1191,1,1
162.0,ACTUAL,945.0,5,5473,9,1,6,0,782,3,1
41.0,ACTUAL,1857.0,5,7804,6,2,3,0,778,1,1
24.0,ACTUAL,856.0,3,1764,6,2,3,0,1024,1,1
84.0,ACTUAL,1998.0,1,5997,1,1,5,0,877,2,1
1759.0,ACTUAL,1024.0,5,8441,6,1,3,0,37,0,1
18.0,ACTUAL,96.0,1,4056,6,1,3,0,1191,1,1
90.0,ACTUAL,913.0,6,1326,6,1,3,0,877,0,1
20.0,,1076.9030855527424,5,2655,6,0,3,0,1191,1,1
49.0,ACTUAL,120.0,3,1574,6,1,3,0,1191,0,1
24.0,ACTUAL,1103.0,1,5118,6,0,3,0,208,1,1
44.0,ACTUAL,2809.0,3,5780,6,2,3,0,1080,1,1
50.0,ESTIMATED,1155.0,2,6905,6,0,6,1,298,1,1
28.0,ACTUAL,1076.9030855527424,1,4056,6,1,3,0,1191,1,1
107.0,ACTUAL,1552.0,5,4873,6,1,6,0,1191,4,1
256.0,ACTUAL,731.0,4,7722,6,1,3,2,804,2,1
30.0,ACTUAL,3287.0,3,7907,6,0,5,2,701,1,1
452.0,,1096.0,6,4032,6,0,3,0,388,1,1
124.0,ESTIMATED,943.0,3,5844,6,1,3,0,877,0,1
12.0,ACTUAL,1370.0,1,5291,1,0,6,0,1191,1,1
120.0,ESTIMATED,882.0,3,4670,6,1,3,0,37,0,1
30.0,ACTUAL,3226.0,3,8836,6,1,5,0,286,4,1
40.0,,790.0,5,7672,6,1,6,0,1191,3,1
148.0,ACTUAL,702.0,2,5934,6,1,6,0,107,1,1
27.0,ACTUAL,426.0,6,3629,6,1,3,0,1191,2,1
45.0,ACTUAL,1675.0,6,1574,8,1,6,0,1191,1,1
1639.0,ACTUAL,1076.9030855527424,5,7975,6,1,3,0,1191,0,1
65.0,ACTUAL,4870.0,6,7250,6,1,5,1,701,2,1
341.0,ACTUAL,6457.0,0,7975,4,2,5,0,537,1,1
20.0,ACTUAL,2830.0,1,6341,6,2,5,0,1079,1,1
39.0,ACTUAL,669.0,1,7092,6,1,3,0,208,4,1
52.0,ACTUAL,214.0,3,8564,6,0,3,0,1191,1,1
211.0,ACTUAL,974.0,2,9689,0,1,7,2,534,3,1
51.0,ACTUAL,2741.0,3,806,6,2,5,0,534,1,1
94.0,ACTUAL,713.0,3,2399,6,1,3,0,208,2,1
210.0,ESTIMATED,914.0,3,1084,6,1,3,0,74,2,1
222.0,ACTUAL,3494.0,3,7111,6,1,3,0,74,4,1
276.0,ACTUAL,2314.0,5,2563,1,1,3,0,208,2,1
52.0,ACTUAL,609.0,3,7885,6,1,3,2,702,1,1
90.0,ACTUAL,396.0,6,6976,6,1,6,0,782,2,1
24.0,ESTIMATED,151.0,3,3851,6,1,3,0,1191,2,1
26.0,ACTUAL,61.0,1,4056,6,1,3,0,804,1,1
4.0,ACTUAL,126.0,6,9352,6,1,6,2,702,1,1
35.0,ACTUAL,122.0,3,7936,6,1,3,0,329,4,1
6800.0,ACTUAL,2786.0,4,5439,8,1,6,1,1191,1,1
1992.0,ACTUAL,335.0,5,3994,1,1,3,0,1191,4,1
60.0,ACTUAL,913.0,3,156,6,1,7,0,428,1,1
27.0,ACTUAL,1004.0,1,633,6,0,3,0,74,3,1
80.0,ESTIMATED,486.0,1,4101,1,1,3,0,1191,2,1
24.0,ACTUAL,176.0,1,2079,6,1,3,0,1191,1,1
113.0,ACTUAL,3361.0,2,596,6,2,3,0,74,1,1
12460.0,ACTUAL,1400.0,5,1060,6,1,3,0,37,2,1
21.0,ACTUAL,153.0,2,6684,6,2,3,0,776,1,1
25.0,,1076.9030855527424,1,1487,6,0,3,0,877,1,1
36.0,ACTUAL,153.0,1,4056,6,1,3,2,561,1,1
1370.0,ACTUAL,1219.0,6,6128,5,1,8,1,1191,2,1
22.0,ACTUAL,749.0,6,7807,6,2,3,0,1191,1,1
60.0,ESTIMATED,1402.0,5,4032,8,1,6,0,1079,3,1
56.0,ACTUAL,1096.0,6,7002,6,1,3,0,208,2,1
122.0,ACTUAL,2572.0,5,5538,9,1,5,0,731,0,1
3.0,ACTUAL,426.0,3,1259,6,1,6,0,1191,0,1
30.0,ACTUAL,1316.0,1,9971,1,0,3,0,208,1,1
276.0,ACTUAL,914.0,4,2804,6,1,3,0,1191,0,1
453.0,ACTUAL,1544.0,4,8839,2,1,5,0,835,1,1
62.0,ACTUAL,1897.0,3,8132,10,2,3,0,421,1,1
60.0,ACTUAL,1553.0,6,6505,9,1,6,0,340,1,1
455.0,ACTUAL,543.0,5,4176,6,1,3,0,37,4,1
50.0,ACTUAL,103.0,1,4056,6,1,3,0,1191,1,1
520.0,ACTUAL,163.0,3,5805,1,1,3,0,1191,1,1
48.0,ESTIMATED,1004.0,3,9155,3,1,7,0,916,1,1
132.0,ACTUAL,303.0,6,4560,6,1,3,0,208,1,1
28.0,ACTUAL,498.0,1,3937,1,1,7,0,1191,1,1
15.0,ACTUAL,92.0,1,1762,6,0,3,2,776,1,1
3.0,ACTUAL,1188.0,1,143,9,2,6,0,463,1,1
26.0,ACTUAL,8.0,1,4827,6,1,3,0,1191,1,1
11.0,ACTUAL,122.0,3,7970,5,1,6,2,703,4,1
14.0,ACTUAL,389.0,6,749,6,2,3,0,1169,1,1
44.0,ACTUAL,271.0,5,2715,6,1,6,0,1191,0,1
244.0,ACTUAL,405.0,3,1093,6,1,3,0,37,2,1
29.0,ACTUAL,485.0,3,7092,6,1,3,0,1191,2,1
5.0,ACTUAL,972.0,2,1478,6,2,3,0,208,1,1
430.0,ACTUAL,609.0,5,2369,6,1,3,0,1191,0,1
54.0,ACTUAL,1645.0,3,2340,6,2,6,0,154,1,1
60.0,ACTUAL,1795.0,5,9271,6,0,3,0,1191,1,1
1.0,ACTUAL,1004.0,0,8863,9,2,6,0,731,1,1
60.0,ESTIMATED,946.0,3,1886,8,2,6,1,954,1,1
49.0,ACTUAL,365.0,6,5036,6,1,3,1,1191,0,1
20.0,ESTIMATED,151.0,3,7975,6,1,3,0,1191,0,1
44.0,ACTUAL,1006.0,1,4708,1,1,3,0,1191,0,1
44.0,ACTUAL,943.0,6,6202,6,2,3,0,1191,1,1
30.0,ACTUAL,638.0,2,5889,1,1,6,0,441,1,1
148.0,ACTUAL,304.0,1,1026,6,1,3,0,388,2,1
716.0,ACTUAL,1430.0,6,6000,1,2,3,0,74,1,1
258.1383630528429,ESTIMATED,1076.9030855527424,1,1600,1,2,5,0,782,1,1
325.0,ACTUAL,304.0,3,9613,6,1,3,0,37,2,1
24.0,ACTUAL,61.0,1,3248,6,1,3,0,731,1,1
310.0,ACTUAL,1505.0,5,2544,6,1,3,0,778,1,1
72.0,ACTUAL,488.0,1,3966,1,1,4,0,1191,0,1
35.0,ACTUAL,275.0,2,749,6,1,3,0,208,2,1
34.0,ACTUAL,304.0,0,1577,6,1,3,0,1191,1,1
32.0,ACTUAL,913.0,1,8878,6,0,5,0,701,1,1
1500.0,ACTUAL,4444.0,5,4430,6,1,6,0,1191,1,1
510.0,ACTUAL,1370.0,5,6181,6,1,5,0,492,4,1
15.0,ACTUAL,256.0,1,4101,6,1,3,2,1191,1,1
21.0,ACTUAL,2602.0,2,1867,1,0,5,0,701,1,1
15.0,ACTUAL,305.0,3,3503,1,2,3,0,283,1,1
20.0,ACTUAL,1065.0,1,7948,8,1,8,0,906,1,1
206.0,ACTUAL,1076.9030855527424,5,8086,1,1,5,0,1080,1,1
21.0,ACTUAL,1157.0,1,584,6,0,3,0,1137,1,1
102.0,ACTUAL,5720.0,3,7885,6,2,3,2,1151,1,1
7.0,ACTUAL,1461.0,2,6108,1,1,3,0,1191,1,1
40.0,ACTUAL,273.0,1,1096,6,0,6,2,1191,1,1
111.0,ACTUAL,983.0,3,7052,6,1,3,0,208,1,1
62.0,ACTUAL,1157.0,4,4056,8,1,5,2,1151,4,1
735.0,ACTUAL,1004.0,5,821,6,1,3,0,877,1,1
48.0,ACTUAL,92.0,1,3451,6,1,3,0,450,1,1
130.0,ACTUAL,485.0,5,4032,6,1,3,0,1191,2,1
55.0,ACTUAL,518.0,1,5840,6,1,3,0,388,2,1
120.0,ACTUAL,150.0,6,3614,6,1,3,0,1191,1,1
40.0,ACTUAL,304.0,1,4805,1,1,6,0,1191,1,1
1000.0,ACTUAL,820.0,6,9922,6,0,6,0,761,1,1
18.0,ACTUAL,30.0,1,4840,6,1,3,2,1191,1,1
14.0,ACTUAL,1872.0,1,7897,6,2,3,2,37,1,1
352.0,ACTUAL,395.0,3,2784,6,1,3,0,75,0,1
82.0,ACTUAL,1858.0,3,5679,6,2,4,0,362,1,1
32.0,ACTUAL,61.0,1,4056,6,1,3,0,1191,1,1
48.0,ACTUAL,273.0,1,9394,6,1,3,0,208,1,1
30.0,ACTUAL,639.0,1,7378,6,1,3,0,534,4,1
84.0,ACTUAL,182.0,1,4101,6,1,3,2,1191,0,1
100.0,ACTUAL,3228.0,5,1972,6,1,6,0,1191,4,1
113.0,ACTUAL,245.0,5,1764,5,1,6,0,1071,0,1
351.0,ACTUAL,2039.0,5,5639,6,1,1,0,1191,1,1
106.0,ACTUAL,2192.0,3,5865,6,2,3,0,270,1,1
365.0,ACTUAL,385.0,3,3867,1,1,3,0,421,0,1
30.0,,1076.9030855527424,1,3947,6,1,3,0,804,0,1
76.0,ACTUAL,1522.0,3,280,8,0,6,0,1191,1,1
16.0,ACTUAL,1076.9030855527424,1,4056,6,1,3,2,1191,1,1
293.0,ACTUAL,2680.0,6,9451,6,1,5,0,702,0,1
100.0,ACTUAL,853.0,6,1890,8,0,6,1,1191,1,1
91.0,ACTUAL,243.0,6,4016,6,1,3,0,1191,1,1
13.0,ACTUAL,365.0,3,5806,1,2,3,0,776,1,1
48.0,ACTUAL,122.0,1,4056,6,2,6,2,1191,1,1
28.0,ACTUAL,1076.9030855527424,2,7601,1,2,5,0,701,1,1
50.0,ESTIMATED,1068.0,3,1710,6,0,3,0,388,1,1
300.0,ACTUAL,1492.0,4,2771,6,1,3,0,1191,1,1
37.0,ACTUAL,335.0,6,3774,6,1,6,0,1191,3,1
20.0,ESTIMATED,181.0,0,4310,1,2,6,0,702,1,1
15.0,ACTUAL,365.0,3,1060,6,1,3,0,701,2,1
209.0,ACTUAL,487.0,3,749,6,1,3,0,37,2,1
70.0,ESTIMATED,3063.0,3,867,6,1,6,0,1191,1,1
2004.0,ACTUAL,823.0,5,1764,6,1,6,0,778,1,1
277.0,ACTUAL,486.0,3,7335,1,1,3,0,693,1,1
81.0,ACTUAL,183.0,2,4463,6,1,3,0,1191,2,1
256.0,ACTUAL,1004.0,3,8441,6,1,3,0,702,2,1
60.0,ESTIMATED,2649.0,6,316,6,0,6,0,85,1,1
55.0,ACTUAL,232.0,3,7975,6,1,3,0,501,4,1
700.0,ESTIMATED,1917.0,4,2727,0,1,5,0,877,3,1
26.0,ACTUAL,659.0,2,9450,6,1,5,0,1080,1,1
250.0,ACTUAL,2527.0,6,8539,6,1,3,0,388,2,1
40.0,ACTUAL,334.0,6,1423,6,1,6,0,1191,2,1
40.0,ACTUAL,1035.0,6,3769,9,1,6,0,1051,3,1
38.0,ACTUAL,365.0,3,327,6,1,3,0,804,4,1
10.0,ACTUAL,489.0,5,7262,6,1,6,0,1191,0,1
77.0,ACTUAL,2614.0,6,7262,6,1,6,0,1191,3,1
33.0,ACTUAL,669.0,1,5547,6,2,3,0,37,1,1
72.0,ACTUAL,365.0,3,2738,6,1,3,0,1191,0,1
31.0,ACTUAL,1004.0,6,1326,6,1,3,0,832,4,1
162.0,ACTUAL,253.0,6,4852,1,1,3,0,1191,1,1
60.0,ACTUAL,1430.0,3,9089,6,1,6,0,600,1,1
131.0,ACTUAL,1952.0,1,8882,6,2,3,0,75,1,1
105.0,ACTUAL,516.0,5,848,6,1,6,1,837,2,1
105.0,ACTUAL,473.0,6,4682,6,1,3,0,286,1,1
226.0,ACTUAL,327.0,1,114,6,1,3,0,837,2,1
44.0,ACTUAL,622.0,3,6843,6,1,3,0,388,4,1
30.0,ACTUAL,1076.9030855527424,5,4056,6,2,3,0,1191,1,1
54.0,ACTUAL,2313.0,3,5473,6,2,1,0,1080,1,1
20.0,ACTUAL,518.0,1,4266,6,1,3,0,1139,0,1
150.0,ACTUAL,2637.0,3,565,1,1,5,0,37,1,1
8.0,ACTUAL,1096.0,6,1326,6,2,6,0,782,1,1
168.0,ACTUAL,2679.0,3,3370,6,1,5,0,74,1,1
20.0,ACTUAL,28.0,1,4056,5,2,6,0,1191,0,1
18.0,ACTUAL,182.0,1,4056,6,2,3,1,1191,1,1
106.0,ACTUAL,1164.0,1,778,6,1,3,0,208,2,1
234.0,ACTUAL,3103.0,5,8636,6,1,3,0,37,2,1
13.0,ACTUAL,705.0,5,886,6,1,5,0,804,0,1
3660.0,ACTUAL,2435.0,4,8708,0,1,1,0,782,1,1
32.0,ACTUAL,10.0,1,1060,6,1,3,0,1191,1,1
40.0,ACTUAL,668.0,1,7411,9,0,6,0,320,1,1
65.0,ACTUAL,1076.9030855527424,6,9851,6,2,3,0,1191,1,1
25.0,ACTUAL,1706.0,3,1461,6,2,3,1,600,1,1
334.0,ACTUAL,852.0,3,1461,6,1,6,1,208,0,1
711.0,ACTUAL,912.0,5,4538,6,1,3,0,37,2,1
